"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","4.7uf","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C2,C4","2","1uf","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1,D2","2","LED","","","","LED_SMD:LED_0805_2012Metric","~"
"J1,J2","2","Conn_01x02","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J3","1","Conn_01x06","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"L1","1","2.2u","","","","Inductor_SMD:L_0805_2012Metric","~"
"R1","1","1M","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3,R7","2","1.5k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R4,R5","2","1k","","","","Resistor_SMD:R_0805_2012Metric","~"
"U1","1","NPM1100-QDAB-R7","","","","Library:assign_pcb",""
